Frame,Speed,Altitude,Time,,,,
916,102,1,28.16,,,,
917,102,1,28.19,,,,
918,102,1,28.23,,,,
919,102,1,28.26,,,,
920,103,1,28.29,,,,
921,103,1,28.33,,,,
922,103,1,28.36,,,,
923,103,1,28.39,,,,
924,103,1,28.43,,,,
925,103,1,28.46,,,,
926,104,1,28.49,,,,
927,104,1,28.53,,,,
928,104,1,28.56,,,,
929,104,1,28.59,,,,
930,104,1,28.63,,,,
931,104,1,28.66,,,,
932,104,1,28.69,,,,
933,105,1,28.73,,,,
934,105,1,28.76,,,,
935,105,1,28.79,,,,
936,105,1,28.83,,,,
937,105,1,28.86,,,,
938,105,1,28.89,,,,
939,106,1,28.93,,,,
940,106,1,28.96,,,,
941,106,1,28.99,,,,
942,106,1,29.03,,,,
943,106,1,29.06,,,,
944,106,1,29.09,,,,
945,107,1,29.13,,,,
946,107,1,29.16,,,,
947,107,1,29.19,,,,
948,107,1,29.23,,,,
949,107,1,29.26,,,,
950,107,1,29.29,,,,
951,108,1,29.33,,,,
952,108,1,29.36,,,,
953,108,1,29.39,,,,
954,108,1,29.43,,,,
955,108,1,29.46,,,,
956,108,1,29.49,,,,
957,109,1,29.53,,,,
958,109,1,29.56,,,,
959,109,1,29.59,,,,
960,109,1,29.63,,,,
961,109,1,29.66,,,,
962,109,1,29.69,,,,
963,110,1,29.73,,,,
964,110,1,29.76,,,,
965,110,1,29.79,,,,
966,110,1,29.83,,,,
967,110,1,29.86,,,,
968,110,1.1,29.89,,,,
969,111,1.1,29.93,,,,
970,111,1.2,29.96,,,,
971,111,1.2,29.99,,,,
972,111,1.3,30.03,,,,
973,111,1.3,30.06,,,,
974,111,1.3,30.09,,,,
975,111,1.4,30.13,,,,
976,112,1.4,30.16,,,,
977,112,1.4,30.19,,,,
978,112,1.5,30.23,,,,
