Frame,Speed,Altitude,Time,Distance,Acceleration
451,36,0.0,12.64,176.86,3.333333333333345
452,36,0.0,12.68,178.29999999999998,3.333333333333345
453,36,0.0,12.71,179.38000000000002,3.333333333333345
454,36,0.0,12.74,180.46,3.333333333333345
455,36,0.0,12.78,181.89999999999998,3.333333333333345
456,36,0.0,12.81,182.98000000000002,3.333333333333345
457,36,0.0,12.84,184.06,3.333333333333345
458,36,0.0,12.88,185.50000000000003,3.333333333333345
459,36,0.0,12.91,186.58,3.333333333333345
460,37,0.0,12.94,187.69,3.703703703703685
461,37,0.0,12.98,189.17000000000004,3.703703703703685
462,37,0.0,13.01,190.28000000000003,3.703703703703685
463,37,0.0,13.05,191.76000000000008,3.703703703703685
464,37,0.0,13.08,192.87000000000006,3.703703703703685
465,37,0.0,13.11,193.98000000000005,3.703703703703685
466,37,0.0,13.15,195.4600000000001,3.703703703703685
467,37,0.0,13.18,196.57000000000008,3.703703703703685
468,38,0.0,13.21,197.71000000000012,4.166666666666694
469,38,0.0,13.25,199.23000000000008,4.166666666666694
470,38,0.0,13.28,200.37000000000006,4.166666666666694
471,38,0.0,13.31,201.5100000000001,4.166666666666694
472,38,0.0,13.35,203.0300000000001,4.166666666666694
473,38,0.0,13.38,204.17000000000013,4.166666666666694
474,38,0.0,13.41,205.31000000000012,4.166666666666694
475,39,0.0,13.45,206.8700000000001,3.3333333333333255
476,39,0.0,13.48,208.04000000000013,3.3333333333333255
477,39,0.0,13.51,209.21000000000012,3.3333333333333255
478,39,0.0,13.55,210.77000000000015,3.3333333333333255
479,39,0.0,13.58,211.94000000000014,3.3333333333333255
480,39,0.0,13.61,213.11000000000013,3.3333333333333255
481,39,0.0,13.65,214.67000000000016,3.3333333333333255
482,39,0.0,13.68,215.84000000000015,3.3333333333333255
483,39,0.0,13.71,217.0100000000002,3.3333333333333255
484,40,0.0,13.75,218.61000000000016,3.8461538461538494
485,40,0.0,13.78,219.81000000000012,3.8461538461538494
486,40,0.0,13.81,221.01000000000016,3.8461538461538494
487,40,0.0,13.85,222.61000000000013,3.8461538461538494
488,40,0.0,13.88,223.81000000000017,3.8461538461538494
489,40,0.0,13.91,225.01000000000016,3.8461538461538494
490,40,0.0,13.95,226.61000000000013,3.8461538461538494
491,40,0.0,13.98,227.81000000000017,3.8461538461538494
492,41,0.0,14.01,229.04000000000013,4.166666666666663
493,41,0.0,14.05,230.68000000000018,4.166666666666663
494,41,0.0,14.08,231.91000000000014,4.166666666666663
495,41,0.0,14.11,233.1400000000001,4.166666666666663
496,41,0.0,14.15,234.78000000000014,4.166666666666663
497,41,0.0,14.18,236.0100000000001,4.166666666666663
498,41,0.0,14.21,237.24000000000015,4.166666666666663
